work,artistURI,artistName,year_work,year_birth,artist_age,movement
https://artresearch.net/resource/frick/work/991013233349707141,http://vocab.getty.edu/ulan/500002251,William Edward West,1808,1788,20,
https://artresearch.net/resource/frick/work/991001663849707141,http://vocab.getty.edu/ulan/500010419,John Watson Gordon,1808,1788,20,
https://artresearch.net/resource/frick/work/991013232589707141,http://vocab.getty.edu/ulan/500017628,Matthew Harris Jouett,1808,1788,20,
https://artresearch.net/resource/frick/work/991003999309707141,http://vocab.getty.edu/ulan/500115562,Théodore Géricault,1808,1791,17,Romanticism
https://artresearch.net/resource/frick/work/991003427979707141,http://vocab.getty.edu/ulan/500019620,Johann Friedrich Overbeck,1809,1789,20,Neoclassicism
https://artresearch.net/resource/frick/work/991003429959707141,http://vocab.getty.edu/ulan/500019620,Johann Friedrich Overbeck,1809,1789,20,Neoclassicism
https://artresearch.net/resource/frick/work/991003454839707141,http://vocab.getty.edu/ulan/500014391,Philipp Otto Runge,1809,1777,32,German romanticism
https://artresearch.net/resource/frick/work/991005526509707141,http://vocab.getty.edu/ulan/500027163,Anton Graff,1809,1736,73,Neoclassicism
https://artresearch.net/resource/frick/work/991005284089707141,http://vocab.getty.edu/ulan/500011182,Bertel Thorvaldsen,1810,1770,40,
https://artresearch.net/resource/frick/work/991013455079707141,http://vocab.getty.edu/ulan/500003558,William Jewett,1810,1792,18,
https://artresearch.net/resource/frick/work/991001812159707141,http://vocab.getty.edu/ulan/500029051,Alexander Carse,1811,1770,41,
https://artresearch.net/resource/frick/work/991013453219707141,http://vocab.getty.edu/ulan/500026460,Samuel Morse,1811,1791,20,
https://artresearch.net/resource/frick/work/991011908119707141,http://vocab.getty.edu/ulan/500047416,Marie Ellenrieder,1811,1791,20,
https://artresearch.net/resource/frick/work/991003999259707141,http://vocab.getty.edu/ulan/500115562,Théodore Géricault,1811,1791,20,Romanticism
https://artresearch.net/resource/frick/work/991007336669707141,http://vocab.getty.edu/ulan/500031083,Chester Harding,1812,1792,20,
https://artresearch.net/resource/frick/work/991004939539707141,http://vocab.getty.edu/ulan/500022453,Francis Martin Drexel,1812,1792,20,
https://artresearch.net/resource/frick/work/991005964469707141,http://vocab.getty.edu/ulan/500115604,George Cruikshank,1812,1792,20,
https://artresearch.net/resource/frick/work/991000626069707141,http://vocab.getty.edu/ulan/500031083,Chester Harding,1812,1792,20,
https://artresearch.net/resource/frick/work/991013315589707141,http://vocab.getty.edu/ulan/500031083,Chester Harding,1812,1792,20,
https://artresearch.net/resource/frick/work/991001703779707141,http://vocab.getty.edu/ulan/500001061,George Henry Harlow,1813,1787,26,
https://artresearch.net/resource/frick/work/991013226999707141,http://vocab.getty.edu/ulan/500020314,Rolinda Sharples,1813,1794,19,Realism
https://artresearch.net/resource/frick/work/991002231939707141,http://vocab.getty.edu/ulan/500029109,Gilbert Stuart Newton,1814,1795,19,
https://artresearch.net/resource/frick/work/991001488219707141,http://vocab.getty.edu/ulan/500006035,Robert Edmonstone,1814,1794,20,
https://artresearch.net/resource/frick/work/991001691379707141,http://vocab.getty.edu/ulan/500015133,John Graham Gilbert,1814,1794,20,
https://artresearch.net/resource/frick/work/991001901619707141,http://vocab.getty.edu/ulan/500113237,George Meikle Kemp,1815,1795,20,
https://artresearch.net/resource/frick/work/991002714859707141,http://vocab.getty.edu/ulan/500118936,Francisco Goya,1815,1746,69,Romanticism
https://artresearch.net/resource/frick/work/991000074649707141,http://vocab.getty.edu/ulan/500026080,Asher Brown Durand,1816,1796,20,Hudson river school
https://artresearch.net/resource/frick/work/991003915739707141,http://vocab.getty.edu/ulan/500115390,Jean-Baptiste Camille Corot,1816,1796,20,Barbizon school
https://artresearch.net/resource/frick/work/991008328909707141,http://vocab.getty.edu/ulan/500013838,Robert Street,1816,1796,20,
https://artresearch.net/resource/frick/work/991000057969707141,http://vocab.getty.edu/ulan/500019611,Charles C. Ingham,1816,1796,20,
https://artresearch.net/resource/frick/work/991003923499707141,http://vocab.getty.edu/ulan/500115390,Jean-Baptiste Camille Corot,1816,1796,20,Barbizon school
https://artresearch.net/resource/frick/work/991007141959707141,http://vocab.getty.edu/ulan/500026080,Asher Brown Durand,1816,1796,20,Hudson river school
https://artresearch.net/resource/frick/work/991007138719707141,http://vocab.getty.edu/ulan/500026080,Asher Brown Durand,1816,1796,20,Hudson river school
https://artresearch.net/resource/frick/work/991006982579707141,http://vocab.getty.edu/ulan/500004854,George Catlin,1816,1796,20,Realism
https://artresearch.net/resource/frick/work/991005106909707141,http://vocab.getty.edu/ulan/500012157,Sophie Fremiet,1817,1797,20,
