work,artistURI,artistName,year_work,year_birth,artist_age,movement
https://artresearch.net/resource/frick/work/991008594879707141,http://vocab.getty.edu/ulan/500027461,,1803,,,
https://artresearch.net/resource/frick/work/991008289619707141,http://vocab.getty.edu/ulan/500006873,Thomas Sully,1803,1783,20,Neoclassicism
https://artresearch.net/resource/frick/work/991008289619707141,http://vocab.getty.edu/ulan/500006873,Thomas Sully,1803,1783,20,neoclassicism
https://artresearch.net/resource/frick/work/991002045029707141,https://artresearch.net/resource/frick/actor/robertson_aikman_george_1844,,1803,,,
https://artresearch.net/resource/frick/work/991005544099707141,https://artresearch.net/resource/frick/actor/moritz_friedrich_wilhelm1783_1855,,1803,,,
https://artresearch.net/resource/frick/work/991001075009707141,https://artresearch.net/resource/frick/actor/marti_n_de_campo_victoria1784_1869,,1804,,,
https://artresearch.net/resource/frick/work/991005505719707141,http://vocab.getty.edu/ulan/500030791,Gabriel Lory,1804,1784,20,
https://artresearch.net/resource/frick/work/991005503719707141,http://vocab.getty.edu/ulan/500030791,Gabriel Lory,1804,1784,20,
https://artresearch.net/resource/frick/work/991013143099707141,http://vocab.getty.edu/ulan/500013139,Bass Otis,1804,1784,20,
https://artresearch.net/resource/frick/work/991005274719707141,http://vocab.getty.edu/ulan/500019609,,1805,,,
https://artresearch.net/resource/frick/work/991000037939707141,http://vocab.getty.edu/ulan/500020613,,1805,,,
https://artresearch.net/resource/frick/work/991007256519707141,http://vocab.getty.edu/ulan/500008343,Robert Fulton,1805,1765,40,
https://artresearch.net/resource/frick/work/991013430819707141,http://vocab.getty.edu/ulan/500019609,,1805,,,
https://artresearch.net/resource/frick/work/991013280929707141,http://vocab.getty.edu/ulan/500016578,John James Audubon,1805,1785,20,Naturalism
https://artresearch.net/resource/frick/work/991013280929707141,http://vocab.getty.edu/ulan/500016578,John James Audubon,1805,1785,20,naturalism
https://artresearch.net/resource/frick/work/991013247939707141,http://vocab.getty.edu/ulan/500020613,,1805,,,
https://artresearch.net/resource/frick/work/991000037859707141,http://vocab.getty.edu/ulan/500020613,,1805,,,
